business_unit,month,service,workload_count,allocated_cost_gbp,share_of_bu_pct,variance_vs_prior_month_pct
Cards,2025-10-01,API Gateway,1,93.28,0.14,
Cards,2025-10-01,CICS Transaction Server,2,6463.55,9.51,
Cards,2025-10-01,COBOL Batch,2,5341.55,7.86,
Cards,2025-10-01,Container Registry,1,191.16,0.28,
Cards,2025-10-01,Db2 for z/OS,3,11603.46,17.07,
Cards,2025-10-01,F5 Load Balancing,1,358.32,0.53,
Cards,2025-10-01,JCL Scheduler,3,12067.11,17.75,
Cards,2025-10-01,Log Analytics,1,209.87,0.31,
Cards,2025-10-01,MQ for z/OS,1,3225.88,4.75,
Cards,2025-10-01,Machine Learning Platform,2,262.75,0.39,
Cards,2025-10-01,Managed PostgreSQL,1,112.57,0.17,
Cards,2025-10-01,Managed Redis,1,541.64,0.8,
Cards,2025-10-01,Message Queue,2,254.04,0.37,
Cards,2025-10-01,Nagios Monitoring,1,64.12,0.09,
Cards,2025-10-01,NetApp Storage,1,225.35,0.33,
Cards,2025-10-01,Object Storage,2,509.93,0.75,
Cards,2025-10-01,RACF Security,2,8074.89,11.88,
Cards,2025-10-01,Red Hat Enterprise Linux,1,87.8,0.13,
Cards,2025-10-01,SMF Analytics,1,1841.79,2.71,
Cards,2025-10-01,SQL Server,2,970.27,1.43,
Cards,2025-10-01,Secrets Manager,1,206.76,0.3,
Cards,2025-10-01,Streaming Ingest,1,55.3,0.08,
Cards,2025-10-01,Tape Virtualisation,2,7984.31,11.74,
Cards,2025-10-01,VSAM Storage,1,527.51,0.78,
Cards,2025-10-01,WebSphere Application Server,1,96.55,0.14,
Cards,2025-10-01,z/OS Connect,1,6611.59,9.73,
Cards,2025-11-01,API Gateway,1,92.06,0.14,-1.31
Cards,2025-11-01,CICS Transaction Server,2,6068.44,9.51,-6.11
Cards,2025-11-01,COBOL Batch,2,4983.09,7.81,-6.71
Cards,2025-11-01,Container Registry,1,168.98,0.26,-11.6
Cards,2025-11-01,Db2 for z/OS,3,11211.05,17.56,-3.38
Cards,2025-11-01,F5 Load Balancing,1,329.89,0.52,-7.93
Cards,2025-11-01,JCL Scheduler,3,11529.58,18.06,-4.45
Cards,2025-11-01,Log Analytics,1,197.4,0.31,-5.94
Cards,2025-11-01,MQ for z/OS,1,2882.25,4.52,-10.65
Cards,2025-11-01,Machine Learning Platform,2,246.23,0.39,-6.29
Cards,2025-11-01,Managed PostgreSQL,1,103.93,0.16,-7.68
Cards,2025-11-01,Managed Redis,1,525.26,0.82,-3.02
Cards,2025-11-01,Message Queue,2,235.21,0.37,-7.41
Cards,2025-11-01,Nagios Monitoring,1,59.92,0.09,-6.55
Cards,2025-11-01,NetApp Storage,1,211.8,0.33,-6.01
Cards,2025-11-01,Object Storage,2,463.36,0.73,-9.13
Cards,2025-11-01,RACF Security,2,7413.73,11.61,-8.19
Cards,2025-11-01,Red Hat Enterprise Linux,1,84.53,0.13,-3.72
Cards,2025-11-01,SMF Analytics,1,1717.07,2.69,-6.77
Cards,2025-11-01,SQL Server,2,909.34,1.42,-6.28
Cards,2025-11-01,Secrets Manager,1,197.17,0.31,-4.64
