declaration_id,member_id,authority,register_held_by,ward,role,committee,declaration_category,declaration_detail,withheld,registered_date,last_updated_date
D-000001,M-00001,Ramsey Town Council,Huntingdonshire District Council,Little Paxton,Vice-Chair,Environment,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2025-01-13,2025-04-26
D-000002,M-00001,Ramsey Town Council,Huntingdonshire District Council,Little Paxton,Vice-Chair,Audit and Governance,Contracts with the authority,Contracts with the authority declared in the register,False,2024-06-06,2025-07-06
D-000003,M-00001,Ramsey Town Council,Huntingdonshire District Council,Little Paxton,Vice-Chair,Health and Wellbeing,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-08-24,2024-10-05
D-000004,M-00001,Ramsey Town Council,Huntingdonshire District Council,Little Paxton,Vice-Chair,Overview and Scrutiny,Directorship,Directorship declared in the register,False,2023-10-19,2024-07-25
D-000005,M-00002,Cambridgeshire County Council,Cambridgeshire County Council,Hemingfords,Councillor,Standards,Trade union membership,Trade union membership declared in the register,False,2025-04-10,2025-08-16
D-000006,M-00002,Cambridgeshire County Council,Cambridgeshire County Council,Hemingfords,Councillor,Licensing,"Employment, office, trade or profession",Employment declared in the register,False,2024-09-19,2024-10-08
D-000007,M-00002,Cambridgeshire County Council,Cambridgeshire County Council,Hemingfords,Councillor,Licensing,Contracts with the authority,Contracts with the authority declared in the register,False,2025-07-05,2026-04-07
D-000008,M-00003,St Ives Town Council,Huntingdonshire District Council,Alconbury,Committee Member,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2024-02-13,2024-05-28
D-000009,M-00004,Ramsey Town Council,Huntingdonshire District Council,Hemingfords,Councillor,Environment,Licences to occupy land,Licences to occupy land declared in the register,False,2024-09-17,2025-08-10
D-000010,M-00004,Ramsey Town Council,Huntingdonshire District Council,Hemingfords,Councillor,Planning,Membership of a charity or voluntary body,Membership of a charity or voluntary body declared in the register,False,2023-06-06,2023-09-16
D-000011,M-00005,St Ives Town Council,Huntingdonshire District Council,Buckden,Councillor,Audit and Governance,Contracts with the authority,Contracts with the authority declared in the register,False,2025-07-29,2026-05-24
D-000012,M-00005,St Ives Town Council,Huntingdonshire District Council,Buckden,Councillor,Audit and Governance,Securities,Securities declared in the register,False,2025-02-03,2025-10-11
D-000013,M-00005,St Ives Town Council,Huntingdonshire District Council,Buckden,Councillor,Audit and Governance,Contracts with the authority,Contracts with the authority declared in the register,False,2024-05-11,2024-09-01
D-000014,M-00005,St Ives Town Council,Huntingdonshire District Council,Buckden,Councillor,Corporate Governance,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2023-12-08,2023-12-09
D-000015,M-00006,South Cambridgeshire District Council,South Cambridgeshire District Council,Somersham,Councillor,Corporate Governance,"Employment, office, trade or profession",Employment declared in the register,False,2023-09-16,2024-06-07
D-000016,M-00006,South Cambridgeshire District Council,South Cambridgeshire District Council,Somersham,Councillor,Standards,Licences to occupy land,Licences to occupy land declared in the register,False,2025-09-08,2026-02-16
D-000017,M-00007,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Corporate Governance,"Employment, office, trade or profession",Employment declared in the register,False,2025-09-03,2026-03-17
D-000018,M-00007,Huntingdonshire District Council,Huntingdonshire District Council,St Neots East,Councillor,Audit and Governance,"Employment, office, trade or profession",Employment declared in the register,False,2024-12-20,2025-04-25
D-000019,M-00008,St Ives Town Council,Huntingdonshire District Council,Alconbury,Councillor,Audit and Governance,Securities,Securities declared in the register,False,2023-09-02,2024-09-16
D-000020,M-00009,St Ives Town Council,Huntingdonshire District Council,St Neots East,Vice-Chair,Environment,Sponsorship,Sponsorship declared in the register,False,2024-06-12,2024-09-19
D-000021,M-00009,St Ives Town Council,Huntingdonshire District Council,St Neots East,Vice-Chair,Corporate Governance,Corporate tenancies,Corporate tenancies declared in the register,False,2024-11-10,2025-02-22
D-000022,M-00010,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon West,Cabinet Member,Audit and Governance,Corporate tenancies,Corporate tenancies declared in the register,False,2025-01-13,2025-05-27
D-000023,M-00010,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon West,Cabinet Member,Finance,Sensitive interest (withheld under s.32),,True,2024-03-06,2025-02-10
D-000024,M-00010,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon West,Cabinet Member,(none),Securities,Securities declared in the register,False,2025-08-02,2026-04-24
D-000025,M-00010,Huntingdonshire District Council,Huntingdonshire District Council,Huntingdon West,Cabinet Member,Employment,Sensitive interest (withheld under s.32),,True,2023-10-12,2024-02-24
D-000026,M-00011,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Councillor,Employment,Securities,Securities declared in the register,False,2025-01-15,2025-04-12
D-000027,M-00011,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Councillor,Health and Wellbeing,Trade union membership,Trade union membership declared in the register,False,2023-09-19,2024-04-20
D-000028,M-00011,Huntingdonshire District Council,Huntingdonshire District Council,Warboys,Councillor,Standards,Membership of a body exercising public functions,Membership of a body exercising public functions declared in the register,False,2024-01-02,2024-03-12
D-000029,M-00012,Ramsey Town Council,Huntingdonshire District Council,Brampton,Vice-Chair,Finance,Contracts with the authority,Contracts with the authority declared in the register,False,2025-03-12,2026-01-10
D-000030,M-00013,South Cambridgeshire District Council,South Cambridgeshire District Council,Huntingdon East,Councillor,Planning,Licences to occupy land,Licences to occupy land declared in the register,False,2025-10-13,2026-10-28
