region,alert_date,alert_level,in_alert_season,consecutive_days_at_level,issued_at
North East,2018-10-01,Green,False,1,2018-10-01T09:00:00
North East,2018-10-02,Green,False,2,2018-10-02T09:00:00
North East,2018-10-03,Green,False,3,2018-10-03T09:00:00
North East,2018-10-04,Green,False,4,2018-10-04T09:00:00
North East,2018-10-05,Green,False,5,2018-10-05T09:00:00
North East,2018-10-06,Green,False,6,2018-10-06T09:00:00
North East,2018-10-07,Green,False,7,2018-10-07T09:00:00
North East,2018-10-08,Green,False,8,2018-10-08T09:00:00
North East,2018-10-09,Green,False,9,2018-10-09T09:00:00
North East,2018-10-10,Green,False,10,2018-10-10T09:00:00
North East,2018-10-11,Green,False,11,2018-10-11T09:00:00
North East,2018-10-12,Green,False,12,2018-10-12T09:00:00
North East,2018-10-13,Green,False,13,2018-10-13T09:00:00
North East,2018-10-14,Green,False,14,2018-10-14T09:00:00
North East,2018-10-15,Green,False,15,2018-10-15T09:00:00
North East,2018-10-16,Green,False,16,2018-10-16T09:00:00
North East,2018-10-17,Green,False,17,2018-10-17T09:00:00
North East,2018-10-18,Green,False,18,2018-10-18T09:00:00
North East,2018-10-19,Green,False,19,2018-10-19T09:00:00
North East,2018-10-20,Green,False,20,2018-10-20T09:00:00
North East,2018-10-21,Green,False,21,2018-10-21T09:00:00
North East,2018-10-22,Green,False,22,2018-10-22T09:00:00
North East,2018-10-23,Green,False,23,2018-10-23T09:00:00
North East,2018-10-24,Green,False,24,2018-10-24T09:00:00
North East,2018-10-25,Green,False,25,2018-10-25T09:00:00
North East,2018-10-26,Green,False,26,2018-10-26T09:00:00
North East,2018-10-27,Green,False,27,2018-10-27T09:00:00
North East,2018-10-28,Green,False,28,2018-10-28T09:00:00
North East,2018-10-29,Green,False,29,2018-10-29T09:00:00
North East,2018-10-30,Green,False,30,2018-10-30T09:00:00
North East,2018-10-31,Green,False,31,2018-10-31T09:00:00
North East,2018-11-01,Green,False,32,2018-11-01T09:00:00
North East,2018-11-02,Green,False,33,2018-11-02T09:00:00
North East,2018-11-03,Green,False,34,2018-11-03T09:00:00
North East,2018-11-04,Green,False,35,2018-11-04T09:00:00
North East,2018-11-05,Green,False,36,2018-11-05T09:00:00
North East,2018-11-06,Green,False,37,2018-11-06T09:00:00
North East,2018-11-07,Green,False,38,2018-11-07T09:00:00
North East,2018-11-08,Green,False,39,2018-11-08T09:00:00
North East,2018-11-09,Green,False,40,2018-11-09T09:00:00
North East,2018-11-10,Green,False,41,2018-11-10T09:00:00
North East,2018-11-11,Green,False,42,2018-11-11T09:00:00
North East,2018-11-12,Green,False,43,2018-11-12T09:00:00
North East,2018-11-13,Green,False,44,2018-11-13T09:00:00
North East,2018-11-14,Green,False,45,2018-11-14T09:00:00
North East,2018-11-15,Green,False,46,2018-11-15T09:00:00
North East,2018-11-16,Green,False,47,2018-11-16T09:00:00
North East,2018-11-17,Green,False,48,2018-11-17T09:00:00
North East,2018-11-18,Green,False,49,2018-11-18T09:00:00
North East,2018-11-19,Green,False,50,2018-11-19T09:00:00
North East,2018-11-20,Green,False,51,2018-11-20T09:00:00
North East,2018-11-21,Green,False,52,2018-11-21T09:00:00
North East,2018-11-22,Green,False,53,2018-11-22T09:00:00
North East,2018-11-23,Green,False,54,2018-11-23T09:00:00
North East,2018-11-24,Green,False,55,2018-11-24T09:00:00
North East,2018-11-25,Green,False,56,2018-11-25T09:00:00
North East,2018-11-26,Green,False,57,2018-11-26T09:00:00
North East,2018-11-27,Green,False,58,2018-11-27T09:00:00
North East,2018-11-28,Green,False,59,2018-11-28T09:00:00
North East,2018-11-29,Green,False,60,2018-11-29T09:00:00
North East,2018-11-30,Green,False,61,2018-11-30T09:00:00
North East,2018-12-01,Green,False,62,2018-12-01T09:00:00
North East,2018-12-02,Green,False,63,2018-12-02T09:00:00
North East,2018-12-03,Green,False,64,2018-12-03T09:00:00
North East,2018-12-04,Green,False,65,2018-12-04T09:00:00
North East,2018-12-05,Green,False,66,2018-12-05T09:00:00
North East,2018-12-06,Green,False,67,2018-12-06T09:00:00
North East,2018-12-07,Green,False,68,2018-12-07T09:00:00
North East,2018-12-08,Green,False,69,2018-12-08T09:00:00
North East,2018-12-09,Green,False,70,2018-12-09T09:00:00
North East,2018-12-10,Green,False,71,2018-12-10T09:00:00
North East,2018-12-11,Green,False,72,2018-12-11T09:00:00
North East,2018-12-12,Green,False,73,2018-12-12T09:00:00
North East,2018-12-13,Green,False,74,2018-12-13T09:00:00
North East,2018-12-14,Green,False,75,2018-12-14T09:00:00
North East,2018-12-15,Green,False,76,2018-12-15T09:00:00
North East,2018-12-16,Green,False,77,2018-12-16T09:00:00
North East,2018-12-17,Green,False,78,2018-12-17T09:00:00
North East,2018-12-18,Green,False,79,2018-12-18T09:00:00
North East,2018-12-19,Green,False,80,2018-12-19T09:00:00
North East,2018-12-20,Green,False,81,2018-12-20T09:00:00
North East,2018-12-21,Green,False,82,2018-12-21T09:00:00
North East,2018-12-22,Green,False,83,2018-12-22T09:00:00
North East,2018-12-23,Green,False,84,2018-12-23T09:00:00
North East,2018-12-24,Green,False,85,2018-12-24T09:00:00
North East,2018-12-25,Green,False,86,2018-12-25T09:00:00
North East,2018-12-26,Green,False,87,2018-12-26T09:00:00
North East,2018-12-27,Green,False,88,2018-12-27T09:00:00
North East,2018-12-28,Green,False,89,2018-12-28T09:00:00
North East,2018-12-29,Green,False,90,2018-12-29T09:00:00
North East,2018-12-30,Green,False,91,2018-12-30T09:00:00
North East,2018-12-31,Green,False,92,2018-12-31T09:00:00
North East,2019-01-01,Green,False,93,2019-01-01T09:00:00
North East,2019-01-02,Green,False,94,2019-01-02T09:00:00
North East,2019-01-03,Green,False,95,2019-01-03T09:00:00
North East,2019-01-04,Green,False,96,2019-01-04T09:00:00
North East,2019-01-05,Green,False,97,2019-01-05T09:00:00
North East,2019-01-06,Green,False,98,2019-01-06T09:00:00
North East,2019-01-07,Green,False,99,2019-01-07T09:00:00
North East,2019-01-08,Green,False,100,2019-01-08T09:00:00
North East,2019-01-09,Green,False,101,2019-01-09T09:00:00
North East,2019-01-10,Green,False,102,2019-01-10T09:00:00
North East,2019-01-11,Green,False,103,2019-01-11T09:00:00
North East,2019-01-12,Green,False,104,2019-01-12T09:00:00
North East,2019-01-13,Green,False,105,2019-01-13T09:00:00
North East,2019-01-14,Green,False,106,2019-01-14T09:00:00
North East,2019-01-15,Green,False,107,2019-01-15T09:00:00
North East,2019-01-16,Green,False,108,2019-01-16T09:00:00
North East,2019-01-17,Green,False,109,2019-01-17T09:00:00
North East,2019-01-18,Green,False,110,2019-01-18T09:00:00
North East,2019-01-19,Green,False,111,2019-01-19T09:00:00
North East,2019-01-20,Green,False,112,2019-01-20T09:00:00
North East,2019-01-21,Green,False,113,2019-01-21T09:00:00
North East,2019-01-22,Green,False,114,2019-01-22T09:00:00
North East,2019-01-23,Green,False,115,2019-01-23T09:00:00
North East,2019-01-24,Green,False,116,2019-01-24T09:00:00
North East,2019-01-25,Green,False,117,2019-01-25T09:00:00
North East,2019-01-26,Green,False,118,2019-01-26T09:00:00
North East,2019-01-27,Green,False,119,2019-01-27T09:00:00
North East,2019-01-28,Green,False,120,2019-01-28T09:00:00
North East,2019-01-29,Green,False,121,2019-01-29T09:00:00
North East,2019-01-30,Green,False,122,2019-01-30T09:00:00
North East,2019-01-31,Green,False,123,2019-01-31T09:00:00
North East,2019-02-01,Green,False,124,2019-02-01T09:00:00
North East,2019-02-02,Green,False,125,2019-02-02T09:00:00
North East,2019-02-03,Green,False,126,2019-02-03T09:00:00
North East,2019-02-04,Green,False,127,2019-02-04T09:00:00
North East,2019-02-05,Green,False,128,2019-02-05T09:00:00
North East,2019-02-06,Green,False,129,2019-02-06T09:00:00
North East,2019-02-07,Green,False,130,2019-02-07T09:00:00
North East,2019-02-08,Green,False,131,2019-02-08T09:00:00
North East,2019-02-09,Green,False,132,2019-02-09T09:00:00
North East,2019-02-10,Green,False,133,2019-02-10T09:00:00
North East,2019-02-11,Green,False,134,2019-02-11T09:00:00
North East,2019-02-12,Green,False,135,2019-02-12T09:00:00
North East,2019-02-13,Green,False,136,2019-02-13T09:00:00
North East,2019-02-14,Green,False,137,2019-02-14T09:00:00
North East,2019-02-15,Green,False,138,2019-02-15T09:00:00
North East,2019-02-16,Green,False,139,2019-02-16T09:00:00
North East,2019-02-17,Green,False,140,2019-02-17T09:00:00
North East,2019-02-18,Green,False,141,2019-02-18T09:00:00
North East,2019-02-19,Green,False,142,2019-02-19T09:00:00
North East,2019-02-20,Green,False,143,2019-02-20T09:00:00
North East,2019-02-21,Green,False,144,2019-02-21T09:00:00
North East,2019-02-22,Green,False,145,2019-02-22T09:00:00
North East,2019-02-23,Green,False,146,2019-02-23T09:00:00
North East,2019-02-24,Green,False,147,2019-02-24T09:00:00
North East,2019-02-25,Green,False,148,2019-02-25T09:00:00
North East,2019-02-26,Green,False,149,2019-02-26T09:00:00
North East,2019-02-27,Green,False,150,2019-02-27T09:00:00
North East,2019-02-28,Green,False,151,2019-02-28T09:00:00
North East,2019-03-01,Green,False,152,2019-03-01T09:00:00
North East,2019-03-02,Green,False,153,2019-03-02T09:00:00
North East,2019-03-03,Green,False,154,2019-03-03T09:00:00
North East,2019-03-04,Green,False,155,2019-03-04T09:00:00
North East,2019-03-05,Green,False,156,2019-03-05T09:00:00
North East,2019-03-06,Green,False,157,2019-03-06T09:00:00
North East,2019-03-07,Green,False,158,2019-03-07T09:00:00
North East,2019-03-08,Green,False,159,2019-03-08T09:00:00
North East,2019-03-09,Green,False,160,2019-03-09T09:00:00
North East,2019-03-10,Green,False,161,2019-03-10T09:00:00
North East,2019-03-11,Green,False,162,2019-03-11T09:00:00
North East,2019-03-12,Green,False,163,2019-03-12T09:00:00
North East,2019-03-13,Green,False,164,2019-03-13T09:00:00
North East,2019-03-14,Green,False,165,2019-03-14T09:00:00
North East,2019-03-15,Green,False,166,2019-03-15T09:00:00
North East,2019-03-16,Green,False,167,2019-03-16T09:00:00
North East,2019-03-17,Green,False,168,2019-03-17T09:00:00
North East,2019-03-18,Green,False,169,2019-03-18T09:00:00
North East,2019-03-19,Green,False,170,2019-03-19T09:00:00
North East,2019-03-20,Green,False,171,2019-03-20T09:00:00
North East,2019-03-21,Green,False,172,2019-03-21T09:00:00
North East,2019-03-22,Green,False,173,2019-03-22T09:00:00
North East,2019-03-23,Green,False,174,2019-03-23T09:00:00
North East,2019-03-24,Green,False,175,2019-03-24T09:00:00
North East,2019-03-25,Green,False,176,2019-03-25T09:00:00
North East,2019-03-26,Green,False,177,2019-03-26T09:00:00
North East,2019-03-27,Green,False,178,2019-03-27T09:00:00
North East,2019-03-28,Green,False,179,2019-03-28T09:00:00
North East,2019-03-29,Green,False,180,2019-03-29T09:00:00
North East,2019-03-30,Green,False,181,2019-03-30T09:00:00
North East,2019-03-31,Green,False,182,2019-03-31T09:00:00
North East,2019-04-01,Green,False,183,2019-04-01T09:00:00
North East,2019-04-02,Green,False,184,2019-04-02T09:00:00
North East,2019-04-03,Green,False,185,2019-04-03T09:00:00
North East,2019-04-04,Green,False,186,2019-04-04T09:00:00
North East,2019-04-05,Green,False,187,2019-04-05T09:00:00
North East,2019-04-06,Green,False,188,2019-04-06T09:00:00
North East,2019-04-07,Green,False,189,2019-04-07T09:00:00
North East,2019-04-08,Green,False,190,2019-04-08T09:00:00
North East,2019-04-09,Green,False,191,2019-04-09T09:00:00
North East,2019-04-10,Green,False,192,2019-04-10T09:00:00
North East,2019-04-11,Green,False,193,2019-04-11T09:00:00
North East,2019-04-12,Green,False,194,2019-04-12T09:00:00
North East,2019-04-13,Green,False,195,2019-04-13T09:00:00
North East,2019-04-14,Green,False,196,2019-04-14T09:00:00
North East,2019-04-15,Green,False,197,2019-04-15T09:00:00
North East,2019-04-16,Green,False,198,2019-04-16T09:00:00
North East,2019-04-17,Green,False,199,2019-04-17T09:00:00
North East,2019-04-18,Green,False,200,2019-04-18T09:00:00
North East,2019-04-19,Green,False,201,2019-04-19T09:00:00
North East,2019-04-20,Green,False,202,2019-04-20T09:00:00
North East,2019-04-21,Green,False,203,2019-04-21T09:00:00
North East,2019-04-22,Green,False,204,2019-04-22T09:00:00
North East,2019-04-23,Green,False,205,2019-04-23T09:00:00
North East,2019-04-24,Green,False,206,2019-04-24T09:00:00
North East,2019-04-25,Green,False,207,2019-04-25T09:00:00
North East,2019-04-26,Green,False,208,2019-04-26T09:00:00
North East,2019-04-27,Green,False,209,2019-04-27T09:00:00
North East,2019-04-28,Green,False,210,2019-04-28T09:00:00
North East,2019-04-29,Green,False,211,2019-04-29T09:00:00
North East,2019-04-30,Green,False,212,2019-04-30T09:00:00
North East,2019-05-01,Green,False,213,2019-05-01T09:00:00
